,address,city,accuracy,resultType,lat,lng,countryCode,stateCode,postalCode
65,"Kolkata|Prova service station, Baithakkhana-Mirzapur Pally, Sealdah, Kolkata 700012, India",Kolkata,100.0,place,22.57141,88.37137,IND,WB,700012
66,"Kolkata|Bharat Petroleum, Tarachand Dutta Street, Colootala, Kolkata 700073, India",Kolkata,100.0,place,22.57857,88.35677,IND,WB,700073
67,"Kolkata|Bose Service Station, Acharya Prafulla Chandra Road, Rajabazar, Kolkata 700009, India",Kolkata,100.0,place,22.57588,88.37334,IND,WB,700009
68,"Kolkata|Hindustan Petroleum, Jorasanko, Kolkata 700007, India",Kolkata,100.0,place,22.58021,88.35712,IND,WB,700007
69,"Kolkata|Bharat Petroleum, Bentinck Street, Bow Barracks, Bow Bazar, Kolkata 700072, India",Kolkata,100.0,place,22.56949,88.35336,IND,WB,700072
70,"Raipur|Balaji Fuels, Subhash Road, Mangra Para, Raipur H O, Raipur 492001, India",Raipur,100.0,place,21.24823,81.63091,IND,CT,492001
71,"Raipur|Hindustan Petroleum, Station Road, New Kaling Nagar, Gudhiyari, Raipur 492009, India",Raipur,100.0,place,21.25719,81.6249,IND,CT,492009
72,"Raipur|Bharat Petroleum, Station Road, Nahar Para, Raipur H O, Raipur 492009, India",Raipur,100.0,place,21.25658,81.63577,IND,CT,492009
73,"Raipur|BP, Station Road, Nahar Para, Raipur H O, Raipur 492009, India",Raipur,100.0,place,21.25661,81.63575,IND,CT,492009
74,"Raipur|Indian Oil, 39 Jail Road, Fafadih Chowk, Fafadih, Raipur 492009, India",Raipur,100.0,place,21.25665,81.63639,IND,CT,492009
75,"Raipur|BP, G E Road, Bombey Market, Modha Para, Raipur 492001, India",Raipur,100.0,place,21.24387,81.63616,IND,CT,492001
76,"Raipur|Indian Oil, G E Road, Modha Para, Raipur 492001, India",Raipur,100.0,place,21.24514,81.6384,IND,CT,492001
77,"Raipur|Hindustan Petroleum, G E Road, Shastri Chowk, Raipur H O, Raipur 492001, India",Raipur,100.0,place,21.24552,81.64049,IND,CT,492001
78,"Raipur|Rajguru agency, Kamsi Para, Raipur H O, Raipur 492001, India",Raipur,100.0,place,21.23947,81.63238,IND,CT,492001
79,"Raipur|BPCL F.R.Fuels, M G Road, Choubey Colony, Chirhuldih, Raipur 492001, India",Raipur,100.0,place,21.24286,81.61484,IND,CT,492001
80,"Jodhapur|Bharat Petroleum Petrol Pump, Pali Road, Saraswati Nagar, Basni, Jodhpur 342005, India",Jodhapur,100.0,place,26.23467,73.02005,IND,RJ,342005
81,"Jodhapur|Hindustan Petroleum, Madhuban Housing Board Road, Sector 1-Block Cha, Basni, Jodhpur 342005, India",Jodhapur,100.0,place,26.23107,73.02128,IND,RJ,342005
82,"Jodhapur|Bharat Petroleum Petrol Pump, Service Road, Marudhara Industrial Area Phase 2, Basni, Jodhpur 342005, India",Jodhapur,100.0,place,26.23685,73.01065,IND,RJ,342005
83,"Jodhapur|HP Petrol Pump, Bhagat Ki Kothi Wistar Yojana, Jodhpur 342008, India",Jodhapur,100.0,place,26.24177,73.01075,IND,RJ,342008
84,"Jodhapur|Indian Oil Petrol Pump, Bhagat Ki Kothi Wistar Yojana, Jodhpur 342008, India",Jodhapur,100.0,place,26.24463,73.01144,IND,RJ,342008
85,"Jodhapur|Bharat Petroleum, Prithviraj Nagar, Jhalamand, Jodhpur 342005, India",Jodhapur,100.0,locality,26.22583,73.03753,IND,RJ,342005
86,"Jodhapur|Indian Oil, Basni, Jodhpur 342005, India",Jodhapur,92.6,place,26.23542,73.01683,IND,RJ,342005
87,"Jodhapur|Hindustan Petroleum, Jhalamand, Jodhpur 342005, India",Jodhapur,100.0,place,26.21203,73.04211,IND,RJ,342005
88,"Jodhapur|Bharat Petroleum Petrol Pump, Jhalamand, Jodhpur 342005, India",Jodhapur,100.0,place,26.22029,73.05332,IND,RJ,342005
89,"Jodhapur|Indian Oil, एनएच-62, Ratanada Extension, Ratanada, Jodhpur 342001, India",Jodhapur,100.0,place,26.27102,73.03618,IND,RJ,342001
90,"Hyderabad|M/S. Hitech Fuel Station, Reliance Digitals Lane, Kutbiguda, Kachiguda, Hyderabad 500027, India",Hyderabad,100.0,place,17.38731,78.49011,IND,TS,500027
91,"Hyderabad|Indian Gas Company, NH-65, Koti, Hyderabad 500027, India",Hyderabad,100.0,place,17.38073,78.48566,IND,TS,500027
92,"Hyderabad|Indian Oil, Rangmahal Road, Gowliguda, Hyderabad 500012, India",Hyderabad,100.0,place,17.38146,78.48277,IND,TS,500012
93,"Hyderabad|HP Petrol Pump, 3 Maharani Jhansi Road, Hanuman Tekdi, Abids, Hyderabad 500001, India",Hyderabad,100.0,place,17.3824,78.4819,IND,TS,500001
94,"Hyderabad|Indane Gas Agency, 5-1-513 Mumbai Highway, Hanuman Tekdi, Abids, Hyderabad 500001, India",Hyderabad,100.0,place,17.3825,78.4812,IND,TS,500001
95,"Hyderabad|HP Petrol Pump, Kachiguda Railway Station Road, Lingampally, Kachiguda, Hyderabad 500027, India",Hyderabad,100.0,place,17.39068,78.49024,IND,TS,500027
96,"Hyderabad|HP Petrol Pump, 3-1-293, Nimboliadda, Kachiguda, Hyderabad 500027, India",Hyderabad,100.0,place,17.3819,78.493,IND,TS,500027
97,"Hyderabad|Prime Fuel, 3-2-687, Kutbiguda, Kachiguda, Hyderabad 500027, India",Hyderabad,100.0,place,17.38907,78.4928,IND,TS,500027
98,"Hyderabad|Deccan Petroleums, Gowliguda, Hyderabad 500012, India",Hyderabad,100.0,place,17.3776,78.48692,IND,TS,500012
99,"Hyderabad|Bharat Petroleum, Darul Shifa Road, Gowliguda, Hyderabad 500012, India",Hyderabad,100.0,place,17.37759,78.48715,IND,TS,500012
